Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	4937.417	26.021502	4970.3086	4897.6953	5353.0786	83.61019	5477.2324	5207.4175	1000.0	1000.0	87999	313.6811	87.763916	402.93225	15.294247	313.68112	87.76526	400.44724	11.528115	2.192282	4.4066195	39.61638	-13.960753	-313.857	16.248892	1586.3807904720306
23	4881.0103	76.37047	4955.2305	4756.617	5344.755	87.831055	5512.379	5222.113	1000.0	1000.0	91999	322.3738	87.879745	411.38495	9.280841	322.374	87.88138	412.6254	15.424562	2.2052948	4.3773975	46.51602	-14.520447	-322.52536	16.158155	1661.532945394516
24	5067.269	36.659107	5121.637	5024.718	5369.895	86.55889	5541.1357	5227.212	1000.0	1000.0	95999	330.0641	88.23666	415.457	15.893789	330.0641	88.23778	415.62384	15.533658	2.314829	4.418523	39.057	-14.359074	-330.18863	16.15969	1735.0313475131989
25	5100.845	109.08443	5238.8154	4971.2896	5425.9814	115.636024	5623.1035	5268.125	1000.0	1000.0	99999	337.3554	88.37495	422.31308	10.037105	337.35526	88.37602	424.07492	14.147544	2.3372858	4.408298	37.091095	-13.035937	-337.43323	16.199915	1807.9998762607574
26	5101.8467	73.584335	5182.287	4994.482	5443.608	117.037056	5661.847	5305.9697	1000.0	1000.0	103999	344.47137	88.04104	427.47348	16.874952	344.47125	88.04156	426.93973	17.531813	2.3328276	4.379491	42.31758	-13.382871	-344.5513	15.746997	1881.4826724529266
27	5145.0723	28.101112	5179.2744	5109.479	5320.532	66.44672	5440.164	5218.6567	1000.0	1000.0	107999	350.80753	87.928925	432.16653	13.731382	350.80807	87.92966	433.14795	13.570161	2.3867598	4.369832	37.5076	-14.13363	-350.84976	16.184011	1956.1067316532135
28	5123.4326	28.021622	5153.5234	5081.083	5562.749	66.95779	5646.7085	5402.017	1000.0	1000.0	111999	356.64352	87.74029	435.51886	23.723536	356.64337	87.74172	436.56326	15.157764	2.3393521	4.336454	37.00569	-13.139634	-356.66544	15.913746	2029.2123246192932
29	5226.3857	51.24764	5273.985	5139.9497	5736.205	72.30207	5841.6895	5635.178	1000.0	1000.0	115999	362.35687	87.575836	439.50516	20.94942	362.3571	87.576	440.99432	21.084604	2.4483392	4.388743	44.52225	-18.568253	-362.36618	15.781013	2101.6496188640594
30	5258.7964	97.68658	5352.4316	5109.311	5700.165	67.2487	5821.7246	5576.0483	1000.0	1000.0	119999	367.3606	87.24227	444.30457	17.308233	367.36044	87.243286	444.57404	13.323254	2.395383	4.3344083	39.094948	-14.941596	-367.33453	16.029467	2174.8944730758667
31	5300.792	140.2244	5433.268	5072.6294	5646.7236	59.44764	5698.9673	5512.1978	1000.0	1000.0	123999	372.30212	86.962296	447.8614	17.716263	372.30212	86.96332	448.09595	18.33974	2.3953297	4.3098903	41.122192	-13.796284	-372.27243	16.02453	2248.833480358124
